"SampleID","Antigen","MFI"
328,"EBP",50.5
328,"PTEX150",211.5
328,"PvCSS",135
328,"LF005",58
328,"LF010",47
328,"RBP2b.P87",58
328,"LF016",49
328,"MSP8",1675
336,"EBP",38
336,"PTEX150",79
336,"PvCSS",76
336,"LF005",42
336,"LF010",39
336,"RBP2b.P87",41
336,"LF016",36
336,"MSP8",2633
348,"EBP",52
348,"PTEX150",70
348,"PvCSS",54
348,"LF005",68
348,"LF010",38
348,"RBP2b.P87",42
348,"LF016",196
348,"MSP8",65
350,"EBP",60
350,"PTEX150",282
350,"PvCSS",122.5
350,"LF005",63
350,"LF010",68
350,"RBP2b.P87",87
350,"LF016",100
350,"MSP8",87
354,"EBP",48
354,"PTEX150",78
354,"PvCSS",52
354,"LF005",83.5
354,"LF010",35
354,"RBP2b.P87",41
354,"LF016",64.5
354,"MSP8",9686
361,"EBP",47
361,"PTEX150",349
361,"PvCSS",57
361,"LF005",58
361,"LF010",40.5
361,"RBP2b.P87",47
361,"LF016",71.5
361,"MSP8",79
364,"EBP",45
364,"PTEX150",83
364,"PvCSS",78
364,"LF005",72.5
364,"LF010",42
364,"RBP2b.P87",44
364,"LF016",42
364,"MSP8",96
370,"EBP",58
370,"PTEX150",74
370,"PvCSS",85
370,"LF005",60
370,"LF010",45
370,"RBP2b.P87",55.5
370,"LF016",66.5
370,"MSP8",252.5
381,"EBP",43
381,"PTEX150",43
381,"PvCSS",70.5
381,"LF005",55
381,"LF010",34
381,"RBP2b.P87",38
381,"LF016",46
381,"MSP8",143
383,"EBP",49.5
383,"PTEX150",117.5
383,"PvCSS",84
383,"LF005",244
383,"LF010",47
383,"RBP2b.P87",59
383,"LF016",90.5
383,"MSP8",161
384,"EBP",185
384,"PTEX150",139
384,"PvCSS",67
384,"LF005",71
384,"LF010",52
384,"RBP2b.P87",85.5
384,"LF016",103
384,"MSP8",241
385,"EBP",46
385,"PTEX150",280.5
385,"PvCSS",50
385,"LF005",75
385,"LF010",51
385,"RBP2b.P87",56
385,"LF016",51
385,"MSP8",269.5
386,"EBP",52
386,"PTEX150",80
386,"PvCSS",63
386,"LF005",137
386,"LF010",46
386,"RBP2b.P87",63
386,"LF016",169.5
386,"MSP8",320
387,"EBP",42
387,"PTEX150",470.5
387,"PvCSS",65
387,"LF005",51.5
387,"LF010",35
387,"RBP2b.P87",41
387,"LF016",78.5
387,"MSP8",64
396,"EBP",60
396,"PTEX150",119.5
396,"PvCSS",947
396,"LF005",155
396,"LF010",48
396,"RBP2b.P87",78
396,"LF016",67
396,"MSP8",155
409,"EBP",42
409,"PTEX150",36.5
409,"PvCSS",47
409,"LF005",61.5
409,"LF010",38
409,"RBP2b.P87",47.5
409,"LF016",43
409,"MSP8",134.5
411,"EBP",43.5
411,"PTEX150",55
411,"PvCSS",50
411,"LF005",58.5
411,"LF010",40
411,"RBP2b.P87",45
411,"LF016",64
411,"MSP8",62
415,"EBP",52.5
415,"PTEX150",235.5
415,"PvCSS",97
415,"LF005",696
415,"LF010",44
415,"RBP2b.P87",56
415,"LF016",89
415,"MSP8",81.5
420,"EBP",52
420,"PTEX150",82
420,"PvCSS",82
420,"LF005",108
420,"LF010",50
420,"RBP2b.P87",91
420,"LF016",80.5
420,"MSP8",152
426,"EBP",47.5
426,"PTEX150",135
426,"PvCSS",48
426,"LF005",65
426,"LF010",42
426,"RBP2b.P87",53
426,"LF016",119.5
426,"MSP8",326
432,"EBP",48
432,"PTEX150",78
432,"PvCSS",65
432,"LF005",49
432,"LF010",38
432,"RBP2b.P87",45
432,"LF016",48
432,"MSP8",49
433,"EBP",86
433,"PTEX150",97
433,"PvCSS",98.5
433,"LF005",1368
433,"LF010",75
433,"RBP2b.P87",78.5
433,"LF016",127
433,"MSP8",132
434,"EBP",65
434,"PTEX150",399
434,"PvCSS",70.5
434,"LF005",71
434,"LF010",62
434,"RBP2b.P87",95.5
434,"LF016",84
434,"MSP8",291
435,"EBP",42.5
435,"PTEX150",124
435,"PvCSS",69
435,"LF005",70.5
435,"LF010",40
435,"RBP2b.P87",480
435,"LF016",56
435,"MSP8",52
436,"EBP",69
436,"PTEX150",194.5
436,"PvCSS",556
436,"LF005",123
436,"LF010",45
436,"RBP2b.P87",57
436,"LF016",51
436,"MSP8",162
437,"EBP",39
437,"PTEX150",593
437,"PvCSS",48.5
437,"LF005",598
437,"LF010",36
437,"RBP2b.P87",37
437,"LF016",155
437,"MSP8",319.5
438,"EBP",171
438,"PTEX150",340.5
438,"PvCSS",82
438,"LF005",63
438,"LF010",50.5
438,"RBP2b.P87",160
438,"LF016",81
438,"MSP8",120.5
439,"EBP",48.5
439,"PTEX150",133
439,"PvCSS",48
439,"LF005",59
439,"LF010",48
439,"RBP2b.P87",43
439,"LF016",85
439,"MSP8",645.5
441,"EBP",42
441,"PTEX150",95
441,"PvCSS",79.5
441,"LF005",62
441,"LF010",37
441,"RBP2b.P87",48
441,"LF016",56
441,"MSP8",110
451,"EBP",45
451,"PTEX150",394.5
451,"PvCSS",214
451,"LF005",59
451,"LF010",38
451,"RBP2b.P87",50
451,"LF016",53
451,"MSP8",62
454,"EBP",60
454,"PTEX150",130
454,"PvCSS",56.5
454,"LF005",166
454,"LF010",84
454,"RBP2b.P87",65
454,"LF016",106
454,"MSP8",201
456,"EBP",39
456,"PTEX150",79
456,"PvCSS",46
456,"LF005",41.5
456,"LF010",37
456,"RBP2b.P87",53
456,"LF016",36
456,"MSP8",99
465,"EBP",44
465,"PTEX150",73
465,"PvCSS",133
465,"LF005",399
465,"LF010",40
465,"RBP2b.P87",147.5
465,"LF016",80
465,"MSP8",53
468,"EBP",36.5
468,"PTEX150",83
468,"PvCSS",54
468,"LF005",65
468,"LF010",48
468,"RBP2b.P87",40
468,"LF016",88
468,"MSP8",55
482,"EBP",46
482,"PTEX150",42
482,"PvCSS",76
482,"LF005",90.5
482,"LF010",58.5
482,"RBP2b.P87",41
482,"LF016",50
482,"MSP8",40.5
495,"EBP",39
495,"PTEX150",53
495,"PvCSS",55
495,"LF005",46
495,"LF010",36
495,"RBP2b.P87",43
495,"LF016",296.5
495,"MSP8",133
502,"EBP",41
502,"PTEX150",39
502,"PvCSS",50
502,"LF005",51.5
502,"LF010",38.5
502,"RBP2b.P87",44
502,"LF016",42
502,"MSP8",139
503,"EBP",38
503,"PTEX150",39
503,"PvCSS",56
503,"LF005",57
503,"LF010",38
503,"RBP2b.P87",47
503,"LF016",79
503,"MSP8",542.5
504,"EBP",54.5
504,"PTEX150",162
504,"PvCSS",52
504,"LF005",144.5
504,"LF010",48
504,"RBP2b.P87",76
504,"LF016",51
504,"MSP8",260.5
505,"EBP",43
505,"PTEX150",123
505,"PvCSS",148
505,"LF005",151.5
505,"LF010",44
505,"RBP2b.P87",186
505,"LF016",57
505,"MSP8",94
508,"EBP",36
508,"PTEX150",37
508,"PvCSS",49
508,"LF005",617.5
508,"LF010",34
508,"RBP2b.P87",47
508,"LF016",29
508,"MSP8",47
511,"EBP",39
511,"PTEX150",40
511,"PvCSS",51
511,"LF005",75
511,"LF010",38
511,"RBP2b.P87",43
511,"LF016",33
511,"MSP8",60.5
515,"EBP",39
515,"PTEX150",73
515,"PvCSS",174
515,"LF005",44
515,"LF010",35.5
515,"RBP2b.P87",38
515,"LF016",73
515,"MSP8",620
522,"EBP",117
522,"PTEX150",168.5
522,"PvCSS",69
522,"LF005",46.5
522,"LF010",37
522,"RBP2b.P87",55
522,"LF016",39
