"std_plate","Sample","antigen","eth_mfi","dilution","png_mfi"
6,"S10","LF010",1256.5,0.001953125,722
6,"S10","PTEX150",81,0.001953125,138
6,"S10","RBP2b.P87",405.5,0.001953125,309
6,"S10","LF016",7756,0.001953125,596
6,"S10","PvCSS",70,0.001953125,98
7,"S1","LF005",16674,1,12418
7,"S1","EBP",13860.5,1,16371
7,"S1","LF010",26434.5,1,26222.5
7,"S1","PTEX150",5967.5,1,10983.5
7,"S1","RBP2b.P87",8431,1,8308
7,"S1","LF016",26225,1,23198
7,"S1","PvCSS",7752,1,12070
7,"S2","LF005",12877,0.5,10360
7,"S2","EBP",11334,0.5,14073
7,"S2","LF010",23858.5,0.5,24328
7,"S2","PTEX150",3431,0.5,8813.5
7,"S2","RBP2b.P87",6966,0.5,7801.5
7,"S2","LF016",24395,0.5,20957.5
7,"S2","PvCSS",4957.5,0.5,9569
7,"S3","LF005",9509,0.25,7577.5
7,"S3","EBP",8735,0.25,11588.5
7,"S3","LF010",20285.5,0.25,19079
7,"S3","PTEX150",2260.5,0.25,6353
7,"S3","RBP2b.P87",5935,0.25,6674
7,"S3","LF016",25172,0.25,17506.5
7,"S3","PvCSS",2780.5,0.25,6638
7,"S4","LF005",6758,0.125,5128
7,"S4","EBP",6247.5,0.125,8799
7,"S4","LF010",15126,0.125,14101
7,"S4","PTEX150",1448,0.125,4122
7,"S4","RBP2b.P87",4802.5,0.125,5239
7,"S4","LF016",25102,0.125,13198
7,"S4","PvCSS",1666,0.125,4649.5
7,"S5","LF005",4080,0.0625,2852
7,"S5","EBP",3864,0.0625,6191
7,"S5","LF010",10561,0.0625,9926
7,"S5","PTEX150",863,0.0625,2444.5
7,"S5","RBP2b.P87",2822,0.0625,4073
7,"S5","LF016",23604,0.0625,9057.5
7,"S5","PvCSS",942,0.0625,2515.5
7,"S6","LF005",2291,0.03125,1748
7,"S6","EBP",2234,0.03125,3916
7,"S6","LF010",6877,0.03125,6589
7,"S6","PTEX150",505,0.03125,1486
7,"S6","RBP2b.P87",2168,0.03125,2406
7,"S6","LF016",20696,0.03125,6096.5
7,"S6","PvCSS",504,0.03125,1414
7,"S7","LF005",1317,0.015625,1019
7,"S7","EBP",1353.5,0.015625,2179
7,"S7","LF010",4595.5,0.015625,4195
7,"S7","PTEX150",273,0.015625,892
7,"S7","RBP2b.P87",1396,0.015625,1676
7,"S7","LF016",17137.5,0.015625,3562
7,"S7","PvCSS",278,0.015625,782
7,"S8","LF005",755,0.0078125,587
7,"S8","EBP",781,0.0078125,1310
7,"S8","LF010",2576,0.0078125,2402.5
7,"S8","PTEX150",156,0.0078125,549
7,"S8","RBP2b.P87",796.5,0.0078125,1050
7,"S8","LF016",12707.5,0.0078125,2098
7,"S8","PvCSS",146,0.0078125,422
7,"S9","LF005",415.5,0.00390625,327
7,"S9","EBP",443.5,0.00390625,745
7,"S9","LF010",1629,0.00390625,1481
7,"S9","PTEX150",95,0.00390625,298.5
7,"S9","RBP2b.P87",481,0.00390625,607
7,"S9","LF016",9330,0.00390625,1243
7,"S9","PvCSS",87,0.00390625,218
7,"S10","LF005",228,0.001953125,177
7,"S10","EBP",251,0.001953125,440.5
7,"S10","LF010",951,0.001953125,850.5
7,"S10","PTEX150",65,0.001953125,166.5
7,"S10","RBP2b.P87",280.5,0.001953125,362
7,"S10","LF016",6070,0.001953125,688
7,"S10","PvCSS",49,0.001953125,113
8,"S1","LF005",12979,1,11557
8,"S1","EBP",11238,1,15709
8,"S1","LF010",25557.5,1,25332
8,"S1","PTEX150",4068,1,9763
8,"S1","RBP2b.P87",7521,1,8434
8,"S1","LF016",26498,1,22599
8,"S1","PvCSS",5050,1,11889
8,"S2","LF005",9352,0.5,9576
8,"S2","EBP",8518,0.5,13561
8,"S2","LF010",20012,0.5,22442
8,"S2","PTEX150",2252,0.5,7577
8,"S2","RBP2b.P87",5694,0.5,7799
8,"S2","LF016",26154,0.5,19246.5
8,"S2","PvCSS",2713,0.5,8804
8,"S3","LF005",6280,0.25,7221
8,"S3","EBP",5823,0.25,11302
8,"S3","LF010",14784,0.25,18332
8,"S3","PTEX150",1388,0.25,5819
8,"S3","RBP2b.P87",4623.5,0.25,6538
8,"S3","LF016",24788,0.25,16693
8,"S3","PvCSS",1602,0.25,6323
8,"S4","LF005",3925.5,0.125,5033
8,"S4","EBP",3690,0.125,8978
8,"S4","LF010",10181,0.125,14042.5
